id_orden,fecha,producto,categoria,precio_unitario,cantidad,canal,ciudad,metodo_pago,total_venta,fecha_str
1001,2024-11-23,Gorra snapback,Accesorios,17474.01,4.0,Shopify,Santiago,Transferencia,69896.04,23/11/2024
1002,2024-02-27,Gorra snapback,Accesorios,16218.56,5.0,MercadoLibre,Madrid,Tarjeta crédito,81092.8,27/02/2024
1003,2024-01-13,Gorra snapback,Accesorios,19404.71,3.0,WooCommerce,Córdoba,Transferencia,58214.13,13/01/2024
1004,2024-05-20,Remera básica,Ropa,14058.47,5.0,Tiendanube,Mendoza,Transferencia,70292.34999999999,20/05/2024
1005,2024-05-05,Vestido floral,Ropa,36894.45,5.0,WooCommerce,Bogotá,Efectivo,184472.25,05/05/2024
1006,2024-04-24,Zapatillas running,Calzado,78222.74,2.0,MercadoLibre,Bogotá,Transferencia,156445.48,24/04/2024
1007,2024-03-12,Cinturón cuero,Accesorios,24960.23,3.0,MercadoLibre,Bogotá,Tarjeta débito,74880.69,12/03/2024
1008,2024-02-22,Remera básica,Ropa,13754.23,3.0,WooCommerce,Buenos Aires,Efectivo,41262.69,22/02/2024
1009,2024-12-12,Zapatillas running,Calzado,85243.42,3.0,WooCommerce,Mar del Plata,Efectivo,255730.26,12/12/2024
1010,2024-10-06,Buzo hoodie,Ropa,51190.82,5.0,Shopify,Rosario,Tarjeta crédito,255954.1,06/10/2024
1011,2024-02-14,Vestido floral,Ropa,35141.2,4.0,WooCommerce,Córdoba,Transferencia,140564.8,14/02/2024
1012,2024-10-29,Zapatillas running,Calzado,84786.01,3.0,Shopify,Madrid,Tarjeta débito,254358.02999999997,29/10/2024
1013,2024-08-04,Vestido floral,Ropa,35382.79,5.0,MercadoLibre,Buenos Aires,Tarjeta crédito,176913.95,04/08/2024
1014,2024-01-17,Gorra snapback,Accesorios,18563.88,2.0,Shopify,Rosario,Tarjeta crédito,37127.76,17/01/2024
1015,2024-01-16,Vestido floral,Ropa,35918.32,4.0,MercadoLibre,Mar del Plata,Transferencia,143673.28,16/01/2024
1016,2024-02-17,Gorra snapback,Accesorios,17623.29,2.0,MercadoLibre,Ciudad de México,Tarjeta débito,35246.58,17/02/2024
1017,2024-04-21,Vestido floral,Ropa,36474.57,4.0,Shopify,Mar del Plata,,145898.28,21/04/2024
1018,2024-04-29,Jean slim,Ropa,44355.07,5.0,WooCommerce,Santiago,Tarjeta crédito,221775.35,29/04/2024
1019,2024-09-15,Vestido floral,Ropa,35584.58,1.0,Shopify,Lima,Transferencia,35584.58,15/09/2024
1020,2024-11-04,Buzo hoodie,Ropa,58426.98,4.0,Shopify,Buenos Aires,Tarjeta crédito,233707.92,04/11/2024
1021,2024-01-14,Jean slim,Ropa,41478.25,2.0,MercadoLibre,Mar del Plata,Tarjeta crédito,82956.5,14/01/2024
1022,2024-10-14,Vestido floral,Ropa,37533.15,5.0,MercadoLibre,Bogotá,Tarjeta crédito,187665.75,14/10/2024
1023,2024-04-11,Short deportivo,Ropa,23493.17,4.0,MercadoLibre,Mar del Plata,Tarjeta crédito,93972.68,11/04/2024
1024,2024-11-28,Remera básica,Ropa,13985.5,1.0,MercadoLibre,Santiago,Transferencia,13985.5,28/11/2024
1025,2024-12-25,Remera básica,Ropa,14561.21,1.0,Tiendanube,Santiago,Transferencia,14561.21,25/12/2024
1026,2024-10-06,Buzo hoodie,Ropa,54273.56,3.0,MercadoLibre,Santiago,Tarjeta crédito,162820.68,06/10/2024
1027,2024-08-02,Buzo hoodie,Ropa,53451.6,3.0,Tiendanube,Mendoza,Tarjeta crédito,160354.8,02/08/2024
1028,2024-04-22,Campera impermeable,Ropa,77335.4,2.0,MercadoLibre,Bogotá,Tarjeta débito,154670.8,22/04/2024
1029,2024-08-17,Short deportivo,Ropa,20673.24,4.0,Shopify,Rosario,Tarjeta débito,82692.96,17/08/2024
1030,2024-10-28,Zapatillas running,Calzado,79722.64,4.0,MercadoLibre,Mendoza,Transferencia,318890.56,28/10/2024
1031,2024-05-22,Buzo hoodie,Ropa,49942.82,3.0,Tiendanube,Bogotá,Efectivo,149828.46,22/05/2024
1032,2024-01-04,Cinturón cuero,Accesorios,24472.73,4.0,WooCommerce,Santiago,Tarjeta crédito,97890.92,04/01/2024
1033,2024-03-22,Campera impermeable,Ropa,75512.51,4.0,Tiendanube,Mar del Plata,Tarjeta débito,302050.04,22/03/2024
1034,2024-12-23,Remera básica,Ropa,16202.99,1.0,MercadoLibre,Buenos Aires,Transferencia,16202.99,23/12/2024
1035,2024-08-04,Zapatillas running,Calzado,79225.31,3.0,WooCommerce,Santiago,Tarjeta débito,237675.93,04/08/2024
